device_type,age_months,cpu_usage_percent,cpu_temperature_celsius,memory_usage_percent,memory_available_gb,memory_total_gb,battery_health_percent,battery_cycle_count,battery_charging_status,system_uptime_hours,days_since_last_update,cpu_score,memory_score,battery_score,system_score,overall_health_percent,remaining_months
laptop,41.6,72.5,68.5,45.5,4.4,8,64.1,1268,charging,344.0,44.0,79.1,100,47.7,85.0,74.1,16.3
desktop,23.5,27.3,54.1,41.7,18.7,32,,,,41.7,61.0,100,100,100,84.5,93.5,45.0
desktop,54.6,48.6,66.4,58.3,6.7,16,,,,1801.5,61.0,91.0,100,100,64.5,87.2,19.2
laptop,72.5,42.7,70.2,50.2,4.0,8,58.1,1500,charging,685.3,146.0,85.7,100,40.7,55.9,69.9,0
desktop,68.1,60.2,78.6,59.8,6.4,16,,,,3537.4,139.0,68.2,100,100,32.7,68.3,11.9
desktop,72.1,89.7,81.3,61.5,12.3,32,,,,257.7,128.0,46.5,98.2,100,57.9,67.1,0
laptop,23.6,68.0,61.6,53.5,3.7,8,74.6,791,discharging,316.3,42.0,90.6,97.6,70.0,86.0,86.2,24.7
desktop,47.7,37.3,64.2,43.3,4.5,8,,,,11.7,87.0,94.1,100,100,71.5,90.5,20.1
laptop,48.7,16.8,67.7,39.9,19.2,32,63.1,1348,discharging,647.7,74.0,89.2,100,46.3,70.0,74.2,14.1
laptop,19.5,65.6,59.2,58.6,13.3,32,87.0,500,charging,706.4,35.0,93.8,100,88.0,89.5,94.0,41.4
laptop,50.4,39.7,63.5,34.2,10.5,16,60.0,1415,discharging,15.8,62.0,95.1,100,42.0,84.0,77.8,16.5
desktop,81.9,86.3,82.9,53.5,7.4,16,,,,7.7,118.0,46.6,100,100,66.9,67.1,0
desktop,42.9,76.4,71.0,60.1,12.8,32,,,,3710.6,69.0,74.0,99.9,100,48.5,73.7,53.0
laptop,80.2,91.5,89.3,53.9,14.8,32,56.7,1500,charging,15.0,123.0,30.0,100,39.7,66.4,51.6,0
desktop,76.5,37.9,78.2,42.7,9.2,16,,,,16.9,162.0,73.0,100,100,62.1,77.5,0
laptop,76.8,65.5,80.5,58.6,6.6,16,60.1,1500,charging,3146.8,128.0,62.5,100,42.1,33.9,60.8,0
laptop,6.8,45.8,63.7,49.3,16.2,32,92.6,191,discharging,4.8,24.0,94.8,100,100,100,99.0,52.4
laptop,10.6,12.9,53.2,31.8,21.8,32,90.3,347,discharging,1995.7,26.0,100,100,97.2,80.0,97.0,40.2
desktop,49.7,62.4,75.8,41.4,4.7,8,,,,3998.4,99.0,72.5,100,100,37.0,69.9,37.6
laptop,61.6,71.5,76.7,42.6,18.4,32,56.4,1500,discharging,1873.6,103.0,67.2,100,39.5,48.6,61.8,4.9
laptop,25.0,39.0,60.6,53.3,14.9,32,76.5,784,discharging,161.3,49.0,99.2,100,72.9,90.5,91.7,40.6
desktop,43.6,58.9,69.7,41.4,4.7,8,,,,319.2,93.0,82.9,100,100,61.7,80.8,49.4
laptop,77.7,66.6,76.3,54.4,3.6,8,57.7,1500,charging,25.0,67.0,69.9,96.8,40.4,81.5,67.0,0
desktop,61.5,54.3,76.5,65.9,5.5,16,,,,11.2,68.0,74.5,92.9,100,81.0,83.4,34.3
laptop,81.3,78.3,85.2,58.2,3.3,8,55.8,1500,charging,660.5,54.0,48.6,94.4,39.1,80.0,60.4,0
laptop,70.7,66.2,81.5,66.8,2.7,8,57.7,1500,charging,62.2,126.0,60.4,81.4,40.4,66.1,60.4,0
laptop,53.3,17.5,65.4,52.8,15.1,32,60.7,1386,charging,29.6,96.0,92.4,100,43.0,69.3,76.2,0.3
desktop,40.7,65.8,65.5,63.0,5.9,16,,,,2484.8,76.0,86.0,96.4,100,45.0,77.0,30.0
laptop,9.4,84.9,67.3,43.0,9.1,16,91.8,270,charging,4162.7,29.0,73.4,100,100,68.0,85.5,41.6
desktop,70.6,83.4,81.3,42.0,18.6,32,,,,152.1,65.0,52.2,100,100,82.5,76.7,0
desktop,34.5,78.8,68.0,58.5,6.6,16,,,,72.9,58.0,77.3,100,100,86.0,86.4,46.1
laptop,45.0,76.3,67.6,49.1,16.3,32,60.1,1490,charging,1044.9,105.0,78.8,100,42.1,48.4,68.6,16.2
laptop,43.6,40.8,62.8,58.5,3.3,8,55.9,1500,charging,351.0,76.0,96.1,94.4,39.1,69.0,76.4,5.3
laptop,63.4,54.8,73.9,35.4,10.3,16,57.9,1500,charging,7.3,110.0,78.6,100,40.5,67.8,70.5,0
desktop,72.4,16.5,70.8,59.3,13.0,32,,,,18.1,152.0,84.9,100,100,63.2,81.3,8.8
desktop,16.3,61.5,59.3,46.8,8.5,16,,,,319.3,21.0,95.4,100,100,92.0,96.4,60.7
desktop,36.1,28.9,60.8,52.2,7.7,16,,,,79.1,87.0,98.9,100,100,71.5,92.8,51.4
laptop,38.0,59.1,62.1,47.0,4.2,8,70.0,1011,charging,3.2,73.0,93.4,100,56.0,78.5,81.2,16.0
laptop,33.9,81.2,69.2,51.8,15.4,32,68.1,1097,discharging,29.3,68.0,74.0,100,53.3,81.0,75.6,20.6
laptop,63.4,77.5,77.7,62.5,6.0,16,57.0,1500,charging,10.8,46.0,63.0,97.0,39.9,92.0,65.3,0
laptop,14.0,47.2,63.8,57.9,3.4,8,86.4,480,charging,2157.9,25.0,94.7,95.2,89.2,80.0,90.1,56.2
desktop,43.9,62.3,67.8,37.3,20.1,32,,,,139.6,75.0,84.2,100,100,77.5,87.3,33.1
laptop,78.6,88.8,85.7,44.9,4.4,8,56.0,1500,charging,91.8,70.0,39.1,100,39.2,80.0,58.3,0
laptop,45.2,38.1,61.5,48.0,8.3,16,59.4,1500,discharging,22.3,86.0,97.9,100,41.6,72.0,79.0,16.9
desktop,30.9,75.2,71.5,50.9,15.7,32,,,,14.6,29.0,73.8,100,100,100,88.2,49.4
laptop,66.9,59.9,78.3,57.5,6.8,16,59.9,1500,discharging,48.2,156.0,68.9,100,41.9,62.8,64.5,0.3
laptop,12.0,50.4,54.6,53.6,3.7,8,88.4,393,discharging,335.0,33.0,99.8,97.6,94.4,90.5,95.9,54.5
desktop,29.8,81.3,65.9,62.9,3.0,8,,,,160.2,72.0,78.6,88.5,100,79.0,83.0,50.4
desktop,58.4,31.3,65.0,52.2,7.7,16,,,,640.2,83.0,93.0,100,100,65.5,86.5,23.8
laptop,32.1,25.2,62.5,37.7,5.0,8,74.9,897,discharging,22.0,68.0,96.5,100,66.6,81.0,83.9,22.4
desktop,53.9,43.9,74.3,44.2,17.8,32,,,,20.9,135.0,80.0,100,100,65.1,82.0,23.8
desktop,63.0,65.0,75.7,32.7,5.4,8,,,,125.6,117.0,71.7,100,100,67.1,77.1,27.0
laptop,4.7,64.2,57.3,54.0,3.7,8,95.9,177,charging,630.2,30.0,94.3,97.6,100,92.0,97.2,65.0
desktop,43.4,89.9,72.1,50.1,16.0,32,,,,129.0,53.0,62.1,100,100,88.5,80.5,23.8
desktop,14.5,73.5,66.4,41.4,4.7,8,,,,8.9,39.0,81.6,100,100,95.5,91.6,62.1
laptop,77.1,25.5,69.4,60.1,6.4,16,58.9,1500,charging,422.1,174.0,86.8,99.9,41.2,52.8,69.9,0
laptop,62.8,72.7,74.5,54.2,7.3,16,56.0,1500,charging,63.3,130.0,70.6,100,39.2,65.6,65.4,0
laptop,41.2,59.2,66.3,53.1,15.0,32,56.5,1452,discharging,101.5,70.0,87.5,100,39.5,80.0,73.9,18
desktop,17.4,69.5,62.5,51.5,15.5,32,,,,61.2,24.0,88.7,100,100,100,93.9,66.3
laptop,39.9,49.7,64.3,46.2,17.2,32,72.1,1018,discharging,4.7,54.0,94.0,100,58.9,88.0,85.4,12.6
desktop,25.7,49.7,58.6,46.9,4.2,8,,,,3351.4,36.0,100,100,100,65.0,90.4,55.9
desktop,57.0,35.5,73.7,62.6,3.0,8,,,,10.7,133.0,80.8,88.9,100,65.3,78.2,4.0
laptop,77.5,85.4,87.3,48.4,16.5,32,54.9,1500,discharging,23.3,137.0,39.2,100,38.4,64.9,56.2,0
laptop,38.7,66.0,65.1,38.7,4.9,8,66.7,1104,charging,46.2,81.0,86.5,100,51.4,74.5,74.9,13.1
laptop,39.5,68.4,70.7,57.3,6.8,16,61.4,1407,charging,1182.6,51.0,77.7,100,44.0,69.5,71.9,30.0
desktop,50.1,55.4,68.4,58.1,13.4,32,,,,151.5,48.0,86.1,100,100,91.0,91.2,27.9
laptop,51.3,73.9,77.2,42.0,18.6,32,61.2,1316,charging,380.0,43.0,65.3,100,43.7,85.5,68.0,12.9
desktop,2.9,91.5,64.9,42.4,4.6,8,,,,11.7,7.0,70.8,100,100,100,86.7,19.1
laptop,13.5,20.9,55.2,44.9,17.6,32,84.2,532,charging,402.6,31.0,100,100,86.8,91.5,96.0,56.3
desktop,65.6,70.5,80.3,36.7,10.1,16,,,,2634.2,111.0,60.9,100,100,35.7,63.7,6.5
desktop,16.6,79.1,66.1,44.4,8.9,16,,,,3.8,32.0,79.8,100,100,99.0,93.2,68.1
desktop,35.8,67.4,70.1,46.6,4.3,8,,,,398.2,47.0,78.9,100,100,83.5,84.8,28.3
laptop,44.6,43.7,63.3,39.6,19.3,32,56.7,1500,discharging,704.5,59.0,95.4,100,39.7,77.5,78.2,18
desktop,3.4,37.8,53.0,61.0,12.5,32,,,,9.8,32.0,100,98.8,100,99.0,100,83.6
desktop,33.7,25.6,63.0,56.8,13.8,32,,,,4194.6,69.0,95.8,100,100,48.5,84.8,48.5
laptop,58.3,14.2,67.0,58.0,3.4,8,58.8,1500,discharging,14.9,116.0,90.2,95.2,41.2,67.2,72.1,0
laptop,65.7,65.9,73.9,59.3,6.5,16,55.5,1500,charging,290.0,123.0,74.2,100,38.8,58.4,66.8,0
desktop,53.3,37.9,67.2,34.1,21.1,32,,,,622.1,100.0,89.9,100,100,60.9,84.2,25.8
laptop,56.5,31.7,63.6,66.0,10.9,32,56.2,1500,charging,335.8,89.0,95.0,92.8,39.3,62.5,72.8,0
laptop,52.4,58.0,70.2,55.6,3.6,8,60.1,1500,discharging,78.5,64.0,82.5,96.8,42.1,83.0,72.9,0.6
laptop,47.9,25.2,61.4,64.7,11.3,32,56.8,1451,discharging,593.3,91.0,98.0,94.4,39.8,61.9,75.1,15.3
desktop,42.2,55.3,64.8,48.7,8.2,16,,,,1285.1,73.0,91.2,100,100,58.5,82.0,47.7
desktop,55.1,68.1,69.3,59.8,12.8,32,,,,1399.9,47.0,79.7,100,100,71.5,83.8,23.0
laptop,50.4,72.2,77.0,50.0,8.0,16,58.2,1500,discharging,18.1,101.0,66.4,100,40.7,68.8,66.0,18
laptop,38.5,71.5,66.2,66.2,5.4,16,66.0,1147,charging,107.2,72.0,82.7,92.6,50.4,79.0,74.2,15.4
laptop,81.7,52.5,75.1,67.0,10.6,32,55.6,1500,charging,18.2,111.0,77.8,91.6,38.9,67.7,67.5,0
desktop,5.9,45.5,56.4,48.9,16.4,32,,,,11.1,28.0,100,100,100,100,100,83.9
laptop,30.5,70.9,66.5,49.1,16.3,32,78.9,810,charging,76.8,41.0,82.5,100,75.3,94.5,84.6,29.1
desktop,8.2,64.6,57.4,43.0,18.2,32,,,,357.0,29.0,94.2,100,100,92.0,95.1,61.1
desktop,49.9,74.7,69.3,39.6,9.7,16,,,,562.0,88.0,77.1,100,100,63.0,80.0,21.0
desktop,56.6,23.1,70.1,38.0,5.0,8,,,,1646.3,107.0,85.9,100,100,48.1,79.1,8.8
laptop,21.8,71.3,66.3,45.5,17.4,32,81.9,600,charging,456.9,53.0,82.7,100,84.4,80.5,86.9,47.1
desktop,14.7,86.3,60.1,39.8,4.8,8,,,,45.6,42.0,82.2,100,100,94.0,89.6,52.4
desktop,38.6,87.6,75.4,62.1,12.1,32,,,,130.8,32.0,59.4,97.5,100,99.0,83.2,55.7
laptop,22.8,91.7,70.7,63.2,11.8,32,83.6,589,charging,60.9,57.0,62.5,96.2,84.8,86.5,80.1,31.1
desktop,14.9,93.2,63.6,31.1,11.0,16,,,,21.8,18.0,71.1,100,100,100,87.3,53.9
desktop,39.0,55.6,69.5,53.3,7.5,16,,,,1139.1,34.0,84.5,100,100,78.0,87.4,28.7
desktop,25.2,10.8,55.1,53.5,3.7,8,,,,108.8,60.0,100,97.6,100,85.0,96.7,43.9
desktop,50.5,51.9,66.3,47.4,16.8,32,,,,313.8,67.0,90.4,100,100,73.5,88.9,27.6
desktop,9.4,74.3,60.0,45.3,4.4,8,,,,2504.8,21.0,90.3,100,100,68.0,87.2,54.0
desktop,28.8,68.4,68.7,58.9,3.3,8,,,,68.2,57.0,80.5,94.4,100,86.5,86.3,55.9
laptop,48.0,23.1,61.0,61.9,6.1,16,55.1,1500,discharging,3527.1,99.0,98.6,97.7,38.6,37.0,71.1,18
desktop,31.1,36.0,63.6,40.7,19.0,32,,,,3465.7,60.0,95.0,100,100,53.0,82.1,43.6
laptop,81.9,75.2,77.6,45.9,17.3,32,59.1,1500,charging,404.0,121.0,64.1,100,41.4,58.6,64.6,0
desktop,71.9,19.1,68.5,63.3,5.9,16,,,,4147.4,149.0,88.1,96.0,100,31.6,73.1,22.6
desktop,21.0,93.9,67.8,36.5,5.1,8,,,,464.9,33.0,64.6,100,100,90.5,82.9,70.7
laptop,27.3,75.9,65.3,59.8,3.2,8,74.2,916,discharging,71.2,57.0,82.2,93.6,64.9,86.5,80.2,40.4
laptop,11.8,75.4,67.0,50.7,15.8,32,89.7,446,discharging,50.5,28.0,80.0,100,91.2,100,89.7,52.5
desktop,21.5,73.6,59.3,50.7,3.9,8,,,,3593.1,38.0,90.6,99.2,100,64.0,87.1,52.0
desktop,83.6,91.6,89.2,62.0,6.1,16,,,,518.2,135.0,30.1,97.6,100,57.1,60.3,4.5
laptop,67.1,81.9,74.9,59.9,6.4,16,58.7,1500,discharging,425.1,160.0,65.4,100,41.1,54.4,62.0,0
laptop,54.4,38.9,69.0,62.1,12.1,32,56.6,1500,discharging,15.3,40.0,87.4,97.5,39.6,95.0,75.5,0
laptop,49.1,75.3,72.9,57.6,13.6,32,56.3,1500,charging,135.3,44.0,71.8,100,39.4,93.0,69.0,13.4
laptop,65.5,55.9,79.2,66.9,5.3,16,55.4,1500,charging,4287.6,130.0,68.8,91.7,38.8,33.6,60.2,0
desktop,10.3,90.6,60.8,53.7,14.8,32,,,,11.3,20.0,77.3,100,100,100,90.5,79.0
laptop,81.4,53.1,79.8,44.4,17.8,32,57.1,1500,discharging,397.2,58.0,68.8,100,40.0,78.0,67.8,0
laptop,79.4,11.4,70.9,53.5,7.4,16,59.8,1500,charging,4125.4,87.0,84.7,100,41.9,39.5,68.9,0
desktop,73.6,11.3,75.0,55.0,14.4,32,,,,146.0,43.0,79.0,100,100,93.5,89.7,0
desktop,64.0,15.2,71.1,54.9,14.4,32,,,,3683.7,61.0,84.5,100,100,52.5,79.6,1.4
laptop,30.7,88.6,72.0,46.1,4.3,8,72.3,1054,discharging,183.7,17.0,63.5,100,59.2,92.0,73.7,35.0
laptop,76.7,14.0,70.5,56.0,14.1,32,56.2,1500,charging,10.7,152.0,85.3,100,39.3,63.2,71.0,0
desktop,11.3,61.3,62.6,49.4,8.1,16,,,,238.8,32.0,91.8,100,100,91.0,94.5,74.5
desktop,41.4,80.6,71.8,37.0,5.0,8,,,,56.5,29.0,70.9,100,100,100,88.0,50.5
laptop,21.0,31.3,59.9,46.7,8.5,16,79.1,734,discharging,71.2,26.0,100,100,78.3,100,94.4,47.4
desktop,53.1,77.5,78.9,34.9,5.2,8,,,,47.3,82.0,60.7,100,100,74.0,76.4,19.3
desktop,38.0,28.3,63.4,49.4,16.2,32,,,,354.2,60.0,95.2,100,100,77.0,92.4,39.6
desktop,55.7,66.8,71.8,46.3,17.2,32,,,,3032.3,67.0,76.8,100,100,49.5,74.5,20.8
laptop,10.1,70.6,58.8,39.6,9.7,16,86.0,401,charging,3672.1,39.0,91.8,100,93.9,63.5,88.4,54.2
laptop,16.7,73.3,63.2,48.9,4.1,8,88.0,428,charging,77.9,15.0,86.2,100,92.3,100,93.4,46.1
laptop,45.4,91.2,73.1,47.5,4.2,8,55.9,1500,discharging,2404.8,91.0,59.6,100,39.1,37.9,56.3,8.6
desktop,17.5,72.3,63.8,32.6,5.4,8,,,,93.3,39.0,85.8,100,100,95.5,94.9,77.7
desktop,66.1,64.9,75.1,42.6,4.6,8,,,,162.7,130.0,72.9,100,100,65.6,77.3,20.6
laptop,17.3,22.1,53.1,28.2,11.5,16,83.0,512,discharging,119.1,21.0,100,100,87.6,100,97.2,41.6
laptop,73.9,74.1,82.1,61.3,6.2,16,55.7,1500,discharging,2825.9,140.0,56.1,98.4,39.0,32.5,57.1,0
laptop,43.9,17.5,64.7,57.8,13.5,32,57.1,1500,discharging,923.9,76.0,93.4,100,40.0,57.0,74.6,18
desktop,53.8,38.0,70.1,60.7,6.3,16,,,,17.4,89.0,85.9,99.2,100,70.5,84.1,21.8
desktop,8.7,76.4,65.5,49.7,16.1,32,,,,871.6,19.0,81.7,100,100,80.0,87.3,54.8
laptop,9.9,74.9,61.8,53.3,14.9,32,90.8,367,charging,525.2,25.0,87.5,100,96.0,92.0,94.7,39.0
desktop,68.3,63.4,79.4,61.2,12.4,32,,,,27.5,73.0,65.4,98.6,100,78.5,81.0,20.6
desktop,71.4,31.5,75.9,52.4,7.6,16,,,,414.2,86.0,77.3,100,100,64.0,82.1,0
laptop,17.6,75.5,63.8,56.5,7.0,16,79.6,645,discharging,8.7,47.0,84.5,100,82.2,91.5,89.3,35.9
desktop,8.5,71.4,64.1,50.9,7.9,16,,,,1447.7,36.0,85.7,100,100,77.0,86.7,55.6
desktop,63.4,91.5,77.6,40.1,4.8,8,,,,585.7,86.0,51.8,100,100,64.0,70.7,3.7
laptop,59.8,87.7,79.3,38.8,9.8,16,54.9,1500,discharging,20.4,131.0,52.0,100,38.4,65.5,60.8,2.9
laptop,27.2,29.1,62.4,50.8,3.9,8,77.4,791,charging,150.0,60.0,96.6,99.2,73.9,85.0,87.2,27.9
laptop,72.0,51.1,75.3,54.4,14.6,32,59.2,1500,discharging,3408.5,163.0,78.0,100,41.4,30.0,65.5,0
desktop,30.6,88.7,66.4,48.4,16.5,32,,,,70.3,72.0,71.2,100,100,79.0,83.4,50.2
laptop,82.4,76.7,82.9,50.3,7.9,16,55.5,1500,discharging,91.0,65.0,53.6,100,38.8,82.5,63.3,0
desktop,5.4,94.6,61.4,42.9,9.1,16,,,,431.1,24.0,72.9,100,100,92.0,86.2,33.9
desktop,47.9,90.5,76.8,52.0,15.4,32,,,,166.0,63.0,54.2,100,100,83.5,76.9,36.4
desktop,19.5,77.9,64.2,36.7,10.1,16,,,,644.2,40.0,83.0,100,100,87.0,90.3,61.6
laptop,51.6,55.0,72.6,45.8,17.3,32,60.1,1500,charging,15.9,50.0,80.4,100,42.1,90.0,72.6,19.1
desktop,67.6,42.4,73.0,40.4,9.5,16,,,,125.8,111.0,81.8,100,100,67.7,81.8,6.8
laptop,29.5,65.0,61.0,55.7,7.1,16,79.3,746,charging,220.7,58.0,92.6,100,78.2,78.0,85.6,26.3
desktop,2.3,86.9,65.7,55.8,3.5,8,,,,1374.4,9.0,73.8,96.0,100,80.0,83.8,12.0
desktop,48.2,85.8,76.0,53.2,3.7,8,,,,829.2,64.0,59.9,97.6,100,63.0,74.0,45.7
desktop,78.5,19.2,74.9,57.4,13.6,32,,,,1415.4,116.0,79.1,100,100,47.2,75.2,0
desktop,65.9,90.2,81.6,45.4,4.4,8,,,,162.3,126.0,45.5,100,100,66.1,66.2,0
desktop,68.1,87.3,82.2,40.0,19.2,32,,,,671.4,123.0,47.0,100,100,58.4,66.4,19.1
laptop,23.7,21.5,59.6,60.0,6.4,16,76.1,748,charging,1095.5,50.0,100,100,73.6,70.0,86.8,48.1
desktop,64.8,69.4,76.7,38.0,5.0,8,,,,116.3,106.0,68.1,100,100,68.3,75.9,6.2
laptop,29.5,55.7,67.1,61.6,12.3,32,70.4,970,discharging,21.9,60.0,87.8,98.1,57.6,85.0,82.0,35.5
laptop,60.0,52.1,73.1,40.7,19.0,32,58.3,1500,discharging,21.8,132.0,80.8,100,40.8,65.4,69.7,0
desktop,69.4,41.6,77.0,42.6,4.6,8,,,,654.8,107.0,75.3,100,100,60.1,79.6,13.1
laptop,79.0,65.5,84.3,57.8,6.8,16,55.8,1500,charging,1632.3,122.0,55.4,100,39.1,46.5,56.3,0
laptop,55.7,29.0,69.0,43.2,4.5,8,58.9,1447,charging,695.3,107.0,87.4,100,41.2,60.1,71.1,0
desktop,9.1,20.1,58.3,60.0,3.2,8,,,,1442.8,21.0,100,93.6,100,80.0,92.0,54.9
laptop,70.0,25.7,74.1,45.4,4.4,8,55.0,1500,charging,134.7,61.0,80.3,100,38.5,84.5,70.4,0
desktop,77.4,39.8,72.8,38.2,19.8,32,,,,447.1,118.0,82.1,100,100,58.9,79.9,8.5
laptop,73.2,15.9,68.4,42.6,18.4,32,56.0,1500,charging,10.4,121.0,88.2,100,39.2,66.6,71.3,0
desktop,3.2,86.6,66.8,42.4,4.6,8,,,,3487.3,6.0,72.5,100,100,68.0,79.9,12.9
laptop,1.7,80.0,63.8,47.3,16.9,32,98.1,56,charging,2925.4,14.0,82.7,100,100,68.0,89.0,13.4
laptop,38.2,84.8,68.0,49.7,8.1,16,60.1,1500,charging,576.5,49.0,72.5,100,42.1,82.5,68.6,19.7
laptop,82.9,20.6,75.8,65.8,2.7,8,58.5,1500,discharging,2388.7,134.0,77.5,82.6,40.9,33.2,59.5,0
laptop,18.2,26.2,52.9,52.8,15.1,32,80.3,701,discharging,523.5,19.0,100,100,80.8,92.0,91.5,45.4
desktop,76.0,91.2,86.8,36.3,10.2,16,,,,119.0,115.0,34.9,100,100,67.3,65.9,0
laptop,32.4,66.7,64.1,56.4,14.0,32,68.4,1122,charging,83.2,72.0,87.6,100,53.8,79.0,77.2,37.9
desktop,51.3,74.9,73.5,63.2,11.8,32,,,,3.0,92.0,71.1,96.2,100,69.8,76.4,39.4
desktop,78.3,40.3,78.6,42.7,4.6,8,,,,490.1,120.0,72.3,100,100,58.7,77.3,0
laptop,67.4,23.6,74.2,49.5,4.0,8,55.1,1500,discharging,548.9,159.0,80.1,100,38.6,54.5,68.4,0
desktop,8.2,13.3,57.8,38.9,9.8,16,,,,14.5,38.0,100,100,100,96.0,98.6,72.4
desktop,75.1,92.5,87.5,46.2,17.2,32,,,,21.4,55.0,32.4,100,100,87.5,68.4,0
laptop,9.3,89.5,70.0,58.0,3.4,8,93.2,332,charging,500.8,29.0,65.5,95.2,98.1,92.0,86.7,48.7
laptop,30.7,31.5,60.7,55.4,14.3,32,71.9,913,charging,313.2,61.0,99.0,100,61.8,76.5,83.8,41.2
desktop,55.4,38.3,64.3,36.6,20.3,32,,,,378.1,86.0,94.0,100,100,64.0,84.9,28.8
desktop,28.2,78.3,70.3,43.5,9.0,16,,,,565.0,51.0,74.3,100,100,81.5,83.2,64.7
laptop,67.7,87.6,83.7,33.7,5.3,8,55.6,1500,charging,203.9,75.0,43.9,100,38.9,69.5,55.8,0
laptop,61.9,39.0,75.1,42.1,4.6,8,56.9,1500,discharging,15.1,45.0,78.8,100,39.8,92.5,75.1,8.4
laptop,7.7,90.9,60.7,33.3,21.4,32,93.2,201,charging,3663.2,31.0,77.2,100,100,67.5,88.0,51.6
laptop,37.2,53.1,61.5,45.4,4.4,8,62.4,1250,charging,5.3,86.0,96.7,100,45.4,72.0,77.1,20.3
desktop,50.5,53.1,67.6,41.0,9.4,16,,,,100.4,118.0,88.1,100,100,66.9,84.3,36.6
laptop,5.2,52.0,63.8,52.3,3.8,8,97.7,135,discharging,23.5,25.0,93.9,98.4,100,100,98.6,64.8
laptop,47.8,71.8,69.9,56.9,6.9,16,58.7,1500,discharging,56.8,79.0,77.4,100,41.1,75.5,70.4,18
desktop,77.6,82.0,86.9,63.5,5.8,16,,,,44.5,110.0,43.0,95.8,100,67.8,64.4,0
desktop,32.0,84.0,65.3,36.5,10.2,16,,,,45.7,55.0,77.0,100,100,87.5,85.1,45.0
desktop,28.3,11.8,55.8,61.3,6.2,16,,,,293.7,60.0,100,98.4,100,77.0,92.4,65.8
laptop,40.9,66.6,67.4,34.3,5.3,8,61.1,1316,charging,3613.0,34.0,83.0,100,43.5,66.0,71.2,10.9
desktop,57.5,46.5,67.0,50.0,4.0,8,,,,613.5,87.0,90.2,100,100,63.5,87.0,4.8
desktop,31.1,30.9,65.0,43.8,18.0,32,,,,517.9,65.0,93.0,100,100,74.5,88.7,41.2
desktop,58.7,86.7,81.9,57.1,13.7,32,,,,141.1,86.0,48.1,100,100,72.0,72.4,12.6
laptop,32.3,22.6,57.9,49.0,16.3,32,67.4,1237,discharging,11.3,78.0,100,100,52.4,76.0,81.2,19.2
laptop,39.8,29.0,57.9,58.6,6.6,16,67.7,1082,discharging,4267.0,70.0,100,100,52.8,48.0,79.3,23.7
laptop,24.8,15.1,60.2,54.3,14.6,32,73.4,915,charging,312.1,18.0,99.7,100,63.8,92.0,88.5,41.5
laptop,31.0,75.9,72.2,52.4,7.6,16,71.6,1049,charging,419.7,50.0,72.6,100,58.2,82.0,74.3,31.1
desktop,80.3,20.5,77.5,48.8,16.4,32,,,,2700.5,137.0,74.3,100,100,32.9,69.2,0
laptop,54.1,37.5,71.0,57.5,3.4,8,54.9,1500,charging,4.2,43.0,84.6,95.2,38.4,93.5,75.1,0
desktop,81.7,38.7,76.0,53.4,3.7,8,,,,3030.5,72.0,77.1,97.6,100,47.0,75.5,7.6
desktop,13.4,74.8,66.9,40.0,4.8,8,,,,2.2,36.0,80.4,100,100,97.0,89.4,54.5
laptop,79.8,91.1,80.6,50.2,8.0,16,54.3,1500,discharging,804.6,111.0,46.6,100,38.0,47.7,53.1,0
laptop,17.5,59.5,56.0,38.0,19.8,32,85.6,572,discharging,45.9,26.0,96.2,100,85.4,100,94.8,36.8
desktop,42.9,23.6,60.0,38.9,19.5,32,,,,384.7,70.0,100,100,100,72.0,91.4,51.9
desktop,17.2,19.6,53.8,57.7,3.4,8,,,,133.4,38.0,100,95.2,100,96.0,98.1,50.5
desktop,30.3,14.6,59.2,63.2,11.8,32,,,,97.6,34.0,100,96.2,100,98.0,97.0,41.7
desktop,79.5,43.0,75.2,52.7,7.6,16,,,,2448.6,153.0,78.6,100,100,31.1,71.5,14.2
laptop,51.8,85.2,78.4,31.8,21.8,32,54.1,1500,discharging,3343.5,62.0,56.0,100,37.9,52.0,58.2,11.7
desktop,62.3,41.7,69.3,39.6,19.3,32,,,,7.9,126.0,87.0,100,100,66.1,86.2,26.5
laptop,10.1,64.1,66.1,61.7,3.1,8,89.7,279,charging,3851.3,31.0,85.8,90.8,100,67.5,87.4,54.8
desktop,5.3,68.8,59.5,46.2,8.6,16,,,,2277.0,18.0,92.5,100,100,68.0,85.4,31.2
laptop,80.6,84.5,85.6,55.5,14.3,32,55.8,1500,charging,123.3,185.0,43.2,100,39.1,59.6,53.9,0
desktop,47.0,69.8,74.1,55.6,14.2,32,,,,216.8,92.0,72.3,100,100,61.8,77.6,26.5
desktop,61.0,56.0,71.5,43.2,18.2,32,,,,2059.6,130.0,81.5,100,100,45.6,74.9,23.2
desktop,56.8,44.7,74.9,57.6,3.4,8,,,,678.4,86.0,79.1,95.2,100,64.0,79.6,27.7
laptop,28.9,88.1,73.3,51.3,3.9,8,67.1,1081,charging,142.8,62.0,62.1,99.2,51.9,84.0,71.3,42.9
laptop,43.6,58.9,66.1,51.0,15.7,32,65.9,1239,discharging,1140.9,96.0,87.9,100,50.3,49.3,73.4,13.8
desktop,18.4,39.8,57.2,40.1,4.8,8,,,,144.1,41.0,100,100,100,94.5,96.4,70.2
